"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","NotPetya","1","1","0","Ukraine's Digital Apocalypso: Witnessing NotPetya's Devastation"
"mistral-7b-v0.3","NotPetya","1","2","0","Midnight Malware: The Dawn of NotPetya"
"mistral-7b-v0.3","NotPetya","1","3","0","Ukraine's Digital Apocalypso: Unraveling the NotPetya Ransomware Attack"
"mistral-7b-v0.3","NotPetya","1","4","0","Midnight Malware: Unleashing NotPetya's Digital ApocalypSE"
"mistral-7b-v0.3","NotPetya","1","5","0","Ukraine's Digital Apocalypso: Unraveling NotPetya's Origins"
"mistral-7b-v0.3","NotPetya","1","6","0","Midnight Attack: Unleashing NotPetya, Ukraine's Digital ApocalypSE"
"mistral-7b-v0.3","NotPetya","1","7","0","Midnight Malware: The Dawn of NotPetya"
"mistral-7b-v0.3","NotPetya","1","8","0","Ukraine's Digital Apocalypso: The Dawn of NotPetya"
"mistral-7b-v0.3","NotPetya","1","9","0","Midnight Attack Unleashes Digital Apocalypze Across Ukraine"
"mistral-7b-v0.3","NotPetya","1","10","0","Midnight Malware: The Dawn of NotPetya"
"mistral-7b-v0.3","NotPetya","2","1","165","GRU's Digital War: The Dawn of State-Sponsored Cyber Attacks"
"mistral-7b-v0.3","NotPetya","2","2","165","GRU's Digital War: The Birth of State-Sponsored Hacking"
"mistral-7b-v0.3","NotPetya","2","3","165","The Dawn of Digital Warfare: GRU's Resurgence in Ukraine"
"mistral-7b-v0.3","NotPetya","2","4","165","The Dawn of Digital Warfare: GRU's Resurgence in 1st State-Sponsored Power Grid Attack"
"mistral-7b-v0.3","NotPetya","2","5","165","GRU's Digital War: A New Era of Cyber Conflict Begins"
"mistral-7b-v0.3","NotPetya","2","6","165","The Dawn of Digital Warfare: GRU's Resurgence in Ukraine"
"mistral-7b-v0.3","NotPetya","2","7","165","GRU's Digital War: The Dawn of State-Sponsored Cyber Terror"
"mistral-7b-v0.3","NotPetya","2","8","165","The Dawn of Digital Warfare: GRU's Reemergence in 17's Cyber Attacks"
"mistral-7b-v0.3","NotPetya","2","9","165","The Dawn of Digital Warfare: GRU's Resurgence in 17's Ukrainian Attacks"
"mistral-7b-v0.3","NotPetya","2","10","165","GRU's Digital War: A New Era of Cyber Conflict Begins"
"mistral-7b-v0.3","NotPetya","3","1","346","Reinventing GRU: Birth of Cyber Cowboy Group SandwORM"
"mistral-7b-v0.3","NotPetya","3","2","346","Rise of Sandwurm: A New Era of Cyber Warfare"
"mistral-7b-v0.3","NotPetya","3","3","346","Reinvented GRU Cyber Unit: Rise of SandwORM & NotPetya Attack"
"mistral-7b-v0.3","NotPetya","3","4","346","Rising From the Shadows: The Emergence of Cyber Warfare Powerhouse, SandWorm"
"mistral-7b-v0.3","NotPetya","3","5","346","Rise of Sandwurm: GRU's Cyber Cowboy Hackers"
"mistral-7b-v0.3","NotPetya","3","6","346","Rise of SandwORM: A New Era of Cyber Warfare"
"llama3.1-8b","NotPetya","1","1","0","The Silent Catalyst of Global Chaos"
"mistral-7b-v0.3","NotPetya","3","7","346","Reinvention of GRU: Birth of Cyber Cowboy Hackers - Sandworn's Global Disruption"
"mistral-7b-v0.3","NotPetya","3","8","346","Reinvented GRU: Birth of Cyber Menace Sandworn"
"mistral-7b-v0.3","NotPetya","3","9","346","Reinventing the GRU: Birth of Cyber Cowboy Group 'Sandworm'"
"mistral-7b-v0.3","NotPetya","3","10","346","Reinvention of GRU: Birth of Cyber Warfare Powerhouse, SandWorm"
